epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5031,1.48904,1.71675,1.17071,0.24448,0.95935,0.23957,0.16894,1.05967,4.71726,1.00515,0.00046,0.00046,0.00046
2,66.5667,1.25631,0.58642,1.07192,0.98513,0.75408,0.81985,0.55018,1.23507,1.34321,1.10179,0.000921388,0.000921388,0.000921388
3,85.6419,1.19277,0.53259,1.051,0.55941,0.44715,0.53239,0.30235,1.72403,1.59096,1.27385,0.00136377,0.00136377,0.00136377
4,103.316,1.15339,0.55369,1.02239,0.00028,0.01301,0.00014,0.0001,1.75735,inf,3.04349,0.00178714,0.00178714,0.00178714
5,115.48,1.13137,0.54459,1.01275,0.05525,0.5935,0.04374,0.02581,1.49577,5.6199,1.29999,0.0018416,0.0018416,0.0018416
6,128.621,1.06589,0.48655,0.99183,0.89251,0.14851,0.24641,0.16101,1.61615,3.69108,1.6671,0.001802,0.001802,0.001802
7,140.614,1.10829,0.49798,0.98596,0.9706,0.93496,0.94821,0.66217,1.14192,0.52688,1.05483,0.0017624,0.0017624,0.0017624
8,153.828,1.04455,0.47174,0.9877,0.99992,0.74959,0.88685,0.66859,1.08839,0.84982,1.04914,0.0017228,0.0017228,0.0017228
9,170.235,0.99667,0.45787,0.95756,0.98173,0.99024,0.99397,0.70735,1.14356,0.49304,1.05389,0.0016832,0.0016832,0.0016832
10,182.912,0.97255,0.4489,0.94742,0.99662,0.89106,0.90598,0.65884,1.03075,0.40973,1.01577,0.0016436,0.0016436,0.0016436
11,194.385,0.97105,0.43847,0.94297,0.9666,0.98817,0.99407,0.75994,0.93856,0.42701,0.96265,0.001604,0.001604,0.001604
12,207.013,0.98517,0.45754,0.96593,0.99789,0.9935,0.995,0.72827,1.05105,0.42187,1.01709,0.0015644,0.0015644,0.0015644
13,218.502,0.89684,0.41369,0.92074,0.95581,0.98468,0.99207,0.7483,0.95504,0.42181,0.97932,0.0015248,0.0015248,0.0015248
14,230.756,0.90731,0.42557,0.94342,0.99972,1,0.995,0.74092,0.98251,0.39139,0.98233,0.0014852,0.0014852,0.0014852
15,242.479,0.90953,0.41546,0.92323,0.99973,1,0.995,0.75573,0.99169,0.36869,0.9857,0.0014456,0.0014456,0.0014456
16,254.337,0.87714,0.3967,0.91811,0.99975,1,0.995,0.7554,0.98562,0.34838,0.98829,0.001406,0.001406,0.001406
17,266.046,0.86425,0.40148,0.90912,0.99813,0.99837,0.995,0.77154,0.91518,0.353,0.95249,0.0013664,0.0013664,0.0013664
18,278.594,0.85429,0.39381,0.91201,0.99156,0.95472,0.99182,0.71593,1.07235,0.4755,1.00555,0.0013268,0.0013268,0.0013268
19,290.779,0.83945,0.39001,0.90522,0.99966,0.99187,0.995,0.76305,0.96376,0.35742,0.97222,0.0012872,0.0012872,0.0012872
20,302.528,0.80048,0.38145,0.89802,0.99812,0.99837,0.995,0.75469,0.99118,0.34703,0.98907,0.0012476,0.0012476,0.0012476
21,314.374,0.83098,0.37869,0.90735,0.99984,1,0.995,0.75182,0.97367,0.34359,0.96888,0.001208,0.001208,0.001208
22,327.397,0.79409,0.3804,0.88037,0.99839,1,0.995,0.76023,0.94761,0.35276,0.96814,0.0011684,0.0011684,0.0011684
23,339.315,0.7661,0.35175,0.89317,0.99982,0.96748,0.98105,0.77648,0.93448,0.37695,0.97908,0.0011288,0.0011288,0.0011288
24,352.343,0.78352,0.35969,0.89207,0.97238,0.94146,0.99168,0.77805,0.94334,0.41207,0.97603,0.0010892,0.0010892,0.0010892
25,365.455,0.80644,0.38541,0.88634,0.99437,0.98211,0.98886,0.77221,0.8868,0.35235,0.94743,0.0010496,0.0010496,0.0010496
26,377.371,0.7542,0.35295,0.8828,0.99977,1,0.995,0.77788,0.89862,0.32365,0.95643,0.00101,0.00101,0.00101
27,389.082,0.73673,0.35126,0.87584,0.99984,1,0.995,0.7922,0.90467,0.33476,0.95243,0.0009704,0.0009704,0.0009704
28,402.023,0.73733,0.34959,0.87904,0.99988,1,0.995,0.79208,0.92767,0.3103,0.96309,0.0009308,0.0009308,0.0009308
29,413.801,0.74912,0.34406,0.88311,0.99987,1,0.995,0.78811,0.92196,0.30674,0.95369,0.0008912,0.0008912,0.0008912
30,425.542,0.75539,0.34243,0.89224,0.99983,1,0.995,0.7979,0.86608,0.30157,0.93669,0.0008516,0.0008516,0.0008516
31,438.583,0.73236,0.34524,0.88405,0.99989,1,0.995,0.79175,0.90477,0.31826,0.95659,0.000812,0.000812,0.000812
32,450.636,0.73926,0.3324,0.8784,0.99988,1,0.995,0.77262,0.90744,0.30231,0.96292,0.0007724,0.0007724,0.0007724
33,462.441,0.72686,0.32848,0.88089,0.99988,1,0.995,0.77895,0.94623,0.30792,0.96789,0.0007328,0.0007328,0.0007328
34,474.42,0.69064,0.3167,0.86754,0.99988,1,0.995,0.79918,0.89864,0.30146,0.95487,0.0006932,0.0006932,0.0006932
35,487.143,0.68534,0.3161,0.86625,0.99989,1,0.995,0.80447,0.89126,0.29937,0.95224,0.0006536,0.0006536,0.0006536
36,500.282,0.68683,0.3067,0.8674,0.99988,1,0.995,0.80749,0.88245,0.29937,0.95107,0.000614,0.000614,0.000614
37,514.276,0.71773,0.32205,0.87176,0.99989,1,0.995,0.79706,0.90692,0.30686,0.95878,0.0005744,0.0005744,0.0005744
38,526.154,0.66613,0.30212,0.85805,0.99989,1,0.995,0.80412,0.9271,0.29612,0.96891,0.0005348,0.0005348,0.0005348
39,538.091,0.68975,0.30802,0.86976,0.99988,1,0.995,0.80737,0.8842,0.28379,0.94848,0.0004952,0.0004952,0.0004952
40,550.138,0.64348,0.29226,0.85683,0.99987,1,0.995,0.81034,0.86546,0.27714,0.94353,0.0004556,0.0004556,0.0004556
41,567.682,0.62665,0.26814,0.87891,0.99978,1,0.995,0.80204,0.8661,0.28522,0.94489,0.000416,0.000416,0.000416
42,579.309,0.6492,0.27179,0.89081,0.99919,0.99837,0.995,0.79708,0.86945,0.29531,0.94463,0.0003764,0.0003764,0.0003764
43,591.408,0.63005,0.27649,0.8751,0.99987,1,0.995,0.80396,0.85877,0.279,0.93915,0.0003368,0.0003368,0.0003368
44,603.053,0.61428,0.26424,0.86405,1,0.99994,0.995,0.81153,0.86595,0.28719,0.94215,0.0002972,0.0002972,0.0002972
45,616.04,0.59965,0.25983,0.8644,0.9999,1,0.995,0.81491,0.85847,0.28537,0.9391,0.0002576,0.0002576,0.0002576
46,628.797,0.62333,0.25954,0.89413,0.99986,1,0.995,0.81921,0.82677,0.2678,0.92957,0.000218,0.000218,0.000218
47,641.493,0.57923,0.25613,0.85456,0.99987,1,0.995,0.8216,0.83715,0.27068,0.93578,0.0001784,0.0001784,0.0001784
48,654.457,0.58487,0.25566,0.86341,0.99987,1,0.995,0.82158,0.84736,0.27662,0.93893,0.0001388,0.0001388,0.0001388
49,666.115,0.5715,0.24878,0.85294,0.99987,1,0.995,0.82403,0.82565,0.26454,0.92934,9.92e-05,9.92e-05,9.92e-05
50,678.894,0.57642,0.24595,0.8614,0.99986,1,0.995,0.82383,0.82895,0.26445,0.92986,5.96e-05,5.96e-05,5.96e-05
